,date,Mkt-RF,SMB,HML,RF
164,2017-12-06,-0.09,-0.51,-0.53,0.004
165,2017-12-07,0.42,0.27,-0.2,0.004
166,2017-12-08,0.51,-0.44,-0.13,0.004
167,2017-12-11,0.26,-0.44,-0.19,0.004
168,2017-12-12,0.07,-0.44,0.5,0.004
169,2017-12-13,0.02,0.62,-0.89,0.004
170,2017-12-14,-0.47,-0.76,-0.22,0.004
171,2017-12-15,0.92,0.68,0.05,0.004
172,2017-12-18,0.67,0.82,0.27,0.004
173,2017-12-19,-0.3,-0.33,-0.24,0.004
174,2017-12-20,0.01,0.37,0.06,0.004
175,2017-12-21,0.24,0.3,0.63,0.004
176,2017-12-22,-0.07,-0.2,-0.21,0.004
177,2017-12-26,-0.07,0.31,-0.07,0.004
178,2017-12-27,0.05,-0.16,-0.2,0.004
179,2017-12-28,0.22,0.1,0.05,0.004
180,2017-12-29,-0.57,-0.31,0.0,0.004
181,2018-01-02,0.85,0.3,-0.22,0.006
182,2018-01-03,0.59,-0.46,-0.18,0.006
183,2018-01-04,0.42,-0.22,0.24,0.006
184,2018-01-05,0.66,-0.37,-0.26,0.006
185,2018-01-08,0.19,-0.2,0.04,0.006
186,2018-01-09,0.15,-0.38,-0.03,0.006
187,2018-01-10,-0.07,0.14,0.57,0.006
188,2018-01-11,0.87,1.13,0.31,0.006
189,2018-01-12,0.66,-0.32,0.16,0.006
190,2018-01-16,-0.49,-0.99,0.01,0.006
191,2018-01-17,0.95,-0.05,-0.1,0.006
192,2018-01-18,-0.18,-0.43,-0.25,0.006
193,2018-01-19,0.57,0.94,-0.04,0.006
194,2018-01-22,0.77,-0.35,-0.16,0.006
195,2018-01-23,0.22,0.07,-0.36,0.006
196,2018-01-24,-0.13,-0.75,0.44,0.006
197,2018-01-25,0.07,0.11,-0.54,0.006
198,2018-01-26,1.11,-0.61,-0.52,0.006
199,2018-01-29,-0.62,0.0,-0.25,0.006
200,2018-01-30,-1.06,0.12,-0.21,0.006
201,2018-01-31,-0.07,-0.68,0.11,0.006
202,2018-02-01,0.03,0.12,0.54,0.006
203,2018-02-02,-2.13,0.01,-0.29,0.006
204,2018-02-05,-4.03,0.66,-0.58,0.006
205,2018-02-06,1.67,-0.48,-0.18,0.006
206,2018-02-07,-0.38,0.61,0.21,0.006
207,2018-02-08,-3.68,0.8,0.52,0.006
208,2018-02-09,1.36,-0.55,0.15,0.006
209,2018-02-12,1.36,-0.47,-0.3,0.006
210,2018-02-13,0.31,0.13,-0.24,0.006
211,2018-02-14,1.52,0.29,0.48,0.006
212,2018-02-15,1.21,-0.16,-0.63,0.006
213,2018-02-16,0.03,0.36,0.16,0.006
214,2018-02-20,-0.62,-0.35,-0.24,0.006
215,2018-02-21,-0.43,0.8,0.23,0.006
216,2018-02-22,0.01,-0.04,-0.4,0.006
217,2018-02-23,1.54,-0.38,-0.15,0.006
218,2018-02-26,1.12,-0.48,-0.07,0.006
219,2018-02-27,-1.25,-0.19,0.03,0.006
220,2018-02-28,-1.11,-0.43,-0.31,0.006
221,2018-03-01,-1.19,0.96,-0.02,0.005
222,2018-03-02,0.7,1.11,-0.49,0.005
223,2018-03-05,1.06,-0.41,0.23,0.005
224,2018-03-06,0.36,0.69,0.12,0.005
225,2018-03-07,0.05,0.76,-0.44,0.005
226,2018-03-08,0.37,-0.57,-0.36,0.005
227,2018-03-09,1.7,-0.2,0.28,0.005
228,2018-03-12,-0.09,0.44,-0.08,0.005
229,2018-03-13,-0.67,0.1,0.03,0.005
230,2018-03-14,-0.53,0.14,-0.58,0.005
231,2018-03-15,-0.18,-0.38,0.32,0.005
232,2018-03-16,0.25,0.47,0.18,0.005
233,2018-03-19,-1.38,0.41,0.41,0.005
234,2018-03-20,0.15,-0.13,-0.36,0.005
235,2018-03-21,-0.06,0.69,0.45,0.005
236,2018-03-22,-2.54,0.4,-0.49,0.005
237,2018-03-23,-2.09,0.09,-0.23,0.005
238,2018-03-26,2.67,-0.62,0.03,0.005
239,2018-03-27,-1.87,-0.23,0.37,0.005
240,2018-03-28,-0.35,0.21,0.65,0.005
241,2018-03-29,1.41,-0.31,-0.22,0.005
242,2018-04-02,-2.29,-0.09,0.36,0.007
243,2018-04-03,1.24,-0.02,0.19,0.007
244,2018-04-04,1.17,0.34,-0.32,0.007
245,2018-04-05,0.75,0.05,0.47,0.007
246,2018-04-06,-2.19,0.37,-0.06,0.007
247,2018-04-09,0.3,-0.24,-0.53,0.007
248,2018-04-10,1.77,0.33,-0.12,0.007
249,2018-04-11,-0.49,0.79,-0.31,0.007
250,2018-04-12,0.84,-0.17,0.19,0.007
251,2018-04-13,-0.37,-0.1,-0.24,0.007
252,2018-04-16,0.82,0.14,-0.02,0.007
253,2018-04-17,1.09,0.01,-1.18,0.007
254,2018-04-18,0.13,0.21,0.02,0.007
255,2018-04-19,-0.49,-0.3,1.08,0.007
256,2018-04-20,-0.81,0.1,0.58,0.007
257,2018-04-23,-0.05,-0.06,0.2,0.007
258,2018-04-24,-1.3,0.65,1.02,0.007
259,2018-04-25,0.1,-0.27,0.08,0.007
260,2018-04-26,0.96,-0.55,-0.85,0.007
261,2018-04-27,0.01,-0.26,0.03,0.007
262,2018-04-30,-0.8,-0.07,-0.1,0.007
263,2018-05-01,0.24,0.25,-0.55,0.006
264,2018-05-02,-0.63,1.25,-0.36,0.006
265,2018-05-03,-0.25,-0.61,-0.15,0.006
266,2018-05-04,1.3,-0.02,-0.2,0.006
267,2018-05-07,0.42,0.37,-0.34,0.006
268,2018-05-08,0.07,0.51,0.24,0.006
269,2018-05-09,0.89,-0.28,0.26,0.006
270,2018-05-10,0.85,-0.38,-0.05,0.006
271,2018-05-11,0.19,0.14,-0.38,0.006
272,2018-05-14,0.05,-0.3,0.1,0.006
273,2018-05-15,-0.55,0.71,0.41,0.006
274,2018-05-16,0.5,0.7,-0.25,0.006
275,2018-05-17,0.02,0.86,0.3,0.006
276,2018-05-18,-0.23,0.45,-0.61,0.006
277,2018-05-21,0.72,-0.18,0.44,0.006
278,2018-05-22,-0.42,-0.65,0.61,0.006
279,2018-05-23,0.29,-0.07,-0.7,0.006
280,2018-05-24,-0.16,0.34,-0.35,0.006
281,2018-05-25,-0.21,0.24,-0.4,0.006
282,2018-05-29,-1.04,1.11,-1.02,0.006
283,2018-05-30,1.31,0.04,0.37,0.006
284,2018-05-31,-0.7,0.05,-0.43,0.006
285,2018-06-01,1.06,-0.21,-0.11,0.006
286,2018-06-04,0.48,0.18,-0.44,0.006
287,2018-06-05,0.16,0.78,-0.44,0.006
288,2018-06-06,0.86,-0.27,0.2,0.006
289,2018-06-07,-0.14,-0.26,0.93,0.006
290,2018-06-08,0.31,0.04,-0.4,0.006
291,2018-06-11,0.12,0.15,-0.16,0.006
292,2018-06-12,0.23,0.18,-0.63,0.006
293,2018-06-13,-0.33,0.03,-0.2,0.006
294,2018-06-14,0.27,0.2,-1.0,0.006
295,2018-06-15,-0.08,0.12,-0.25,0.006
296,2018-06-18,-0.09,0.74,0.08,0.006
297,2018-06-19,-0.38,0.54,-0.14,0.006
298,2018-06-20,0.23,0.66,-0.51,0.006
299,2018-06-21,-0.73,-0.55,0.34,0.006
300,2018-06-22,0.11,-0.08,0.46,0.006
301,2018-06-25,-1.48,-0.45,0.57,0.006
302,2018-06-26,0.27,0.51,-0.24,0.006
303,2018-06-27,-1.02,-1.01,0.36,0.006
304,2018-06-28,0.58,-0.21,-0.51,0.006
305,2018-06-29,0.07,-0.24,-0.24,0.006
306,2018-07-02,0.36,0.45,-0.26,0.008
307,2018-07-03,-0.44,0.76,-0.02,0.008
308,2018-07-05,0.87,0.39,-0.43,0.008
309,2018-07-06,0.88,-0.02,-0.3,0.008
310,2018-07-09,0.93,-0.29,0.86,0.008
311,2018-07-10,0.21,-0.82,-0.17,0.008
312,2018-07-11,-0.69,-0.06,-0.47,0.008
313,2018-07-12,0.86,-0.44,-1.14,0.008
314,2018-07-13,0.08,-0.18,-0.29,0.008
315,2018-07-16,-0.16,-0.61,0.98,0.008
316,2018-07-17,0.48,0.17,-0.76,0.008
317,2018-07-18,0.27,-0.14,0.67,0.008
318,2018-07-19,-0.34,0.91,-0.36,0.008
319,2018-07-20,-0.1,-0.17,0.13,0.008
320,2018-07-23,0.15,-0.2,0.55,0.008
321,2018-07-24,0.22,-1.32,0.4,0.008
322,2018-07-25,0.83,-0.59,-1.06,0.008
323,2018-07-26,-0.2,0.76,0.57,0.008
324,2018-07-27,-0.82,-1.21,1.06,0.008
325,2018-07-30,-0.7,0.01,1.57,0.008
326,2018-07-31,0.51,0.73,-1.11,0.008
327,2018-08-01,-0.13,-0.02,-0.19,0.007
328,2018-08-02,0.67,0.17,-0.68,0.007
329,2018-08-03,0.31,-0.93,0.51,0.007
330,2018-08-06,0.46,0.22,-0.33,0.007
331,2018-08-07,0.29,-0.02,-0.17,0.007
332,2018-08-08,-0.04,-0.11,0.26,0.007
333,2018-08-09,-0.05,0.34,-0.35,0.007
334,2018-08-10,-0.6,0.31,-0.21,0.007
335,2018-08-13,-0.46,-0.21,-0.29,0.007
336,2018-08-14,0.69,0.32,0.21,0.007
337,2018-08-15,-0.91,-0.52,-0.13,0.007
338,2018-08-16,0.86,-0.04,0.25,0.007
339,2018-08-17,0.3,0.13,0.02,0.007
340,2018-08-20,0.25,0.15,0.14,0.007
341,2018-08-21,0.33,0.92,0.12,0.007
342,2018-08-22,0.05,0.29,-0.35,0.007
343,2018-08-23,-0.19,-0.1,-0.33,0.007
344,2018-08-24,0.62,-0.08,-0.57,0.007
345,2018-08-27,0.74,-0.62,-0.16,0.007
346,2018-08-28,-0.01,-0.12,-0.28,0.007
347,2018-08-29,0.56,-0.14,-0.58,0.007
348,2018-08-30,-0.41,0.23,-0.42,0.007
349,2018-08-31,0.08,0.45,-0.39,0.007
350,2018-09-04,-0.11,-0.33,0.01,0.008
351,2018-09-05,-0.41,-0.04,0.66,0.008
352,2018-09-06,-0.44,-0.37,-0.24,0.008
353,2018-09-07,-0.18,0.08,-0.22,0.008
354,2018-09-10,0.23,0.08,-0.37,0.008
355,2018-09-11,0.37,-0.34,-0.24,0.008
356,2018-09-12,0.03,-0.12,-0.22,0.008
357,2018-09-13,0.45,-0.49,-0.41,0.008
358,2018-09-14,0.12,0.31,0.25,0.008
359,2018-09-17,-0.71,-0.35,0.84,0.008
360,2018-09-18,0.57,0.03,-0.49,0.008
361,2018-09-19,0.06,-0.5,1.28,0.008
362,2018-09-20,0.77,0.29,-0.23,0.008
363,2018-09-21,-0.13,-0.42,0.3,0.008
364,2018-09-24,-0.31,-0.05,-0.9,0.008
365,2018-09-25,-0.05,0.19,-0.38,0.008
366,2018-09-26,-0.4,-0.48,-0.64,0.008
367,2018-09-27,0.27,-0.34,-0.55,0.008
368,2018-09-28,-0.03,0.34,-0.2,0.008
369,2018-10-01,0.16,-1.62,0.34,0.008
370,2018-10-02,-0.21,-0.94,0.6,0.008
371,2018-10-03,0.2,0.89,0.5,0.008
372,2018-10-04,-0.93,-0.79,1.58,0.008
373,2018-10-05,-0.64,-0.41,0.39,0.008
374,2018-10-08,-0.17,-0.23,1.22,0.008
375,2018-10-09,-0.18,-0.41,0.29,0.008
376,2018-10-10,-3.33,0.41,1.12,0.008
377,2018-10-11,-1.96,0.37,-0.93,0.008
378,2018-10-12,1.38,-1.11,-1.75,0.008
379,2018-10-15,-0.48,1.0,0.52,0.008
380,2018-10-16,2.24,0.57,-1.43,0.008
381,2018-10-17,-0.08,-0.61,0.25,0.008
382,2018-10-18,-1.54,-0.53,0.42,0.008
383,2018-10-19,-0.25,-1.27,0.71,0.008
384,2018-10-22,-0.38,0.36,-1.25,0.008
385,2018-10-23,-0.62,-0.18,-0.42,0.008
386,2018-10-24,-3.33,-0.83,0.77,0.008
387,2018-10-25,1.93,0.31,-0.59,0.008
388,2018-10-26,-1.65,0.59,0.36,0.008
389,2018-10-29,-0.77,-0.1,1.6,0.008
390,2018-10-30,1.66,0.45,0.08,0.008
391,2018-10-31,1.22,-0.7,-0.74,0.008
392,2018-11-01,1.29,1.22,-1.14,0.008
393,2018-11-02,-0.53,0.84,0.66,0.008
394,2018-11-05,0.4,-0.89,1.56,0.008
395,2018-11-06,0.58,-0.15,0.03,0.008
396,2018-11-07,2.11,-0.51,-1.05,0.008
397,2018-11-08,-0.28,-0.17,0.24,0.008
398,2018-11-09,-1.04,-0.84,0.42,0.008
399,2018-11-12,-2.06,0.1,0.84,0.008
